lsa_0,lsa_1,rating,month,review_age_days,location_freq,title_len,word_count,avg_word_len,sentiment,sentiment_extremity,is_helpful
0.1776129751050676,-0.02960350280866704,4,2,80,958,34,32,9.09375,0.7543,0.7543,1
0.232842453435422,0.029216345872132503,5,4,29,958,8,62,11.46774193548387,0.9041,0.9041,1
0.12140444847116678,0.04262881417986007,5,4,4,958,20,25,8.36,0.9322,0.9322,0
0.17038530723365553,0.1747897060374136,5,1,115,958,56,150,10.4,0.9753,0.9753,1
0.22827293334874824,-0.15539171048345837,5,4,15,958,12,9,8.222222222222221,0.6597,0.6597,1
0.1540981336897806,0.05343716722599732,5,4,24,958,23,49,10.16326530612245,0.9699,0.9699,1
0.20826330284002492,0.054125892007286416,5,3,42,958,7,36,8.944444444444445,0.9534,0.9534,1
0.2948979421832884,0.029394628157840403,5,3,45,958,63,77,9.909090909090908,0.9847,0.9847,1
0.1933838117970713,0.155607766792968,5,3,49,958,54,23,9.217391304347826,0.4854,0.4854,1
0.07117298926535474,-0.03160481066846821,4,1,478,32,29,8,10.875,0.3716,0.3716,0
0.18278849320618398,-0.11085490745369121,4,3,60,958,11,32,10.75,0.9373,0.9373,1
0.2161873583462901,-0.14496257642295565,5,4,8,958,10,20,10.45,0.9615,0.9615,1
0.14388963311354516,-0.0011337519995978547,5,4,11,958,14,16,6.4375,0.7579,0.7579,1
0.15942404233366764,0.12561019770545326,5,4,11,958,33,53,10.0188679245283,0.4019,0.4019,1
0.27389136836031963,-0.22387506590843945,5,3,56,958,35,65,9.846153846153848,0.9898,0.9898,1
0.24709739763997715,-0.24071565032617764,5,10,1649,15,28,31,10.419354838709678,0.8822,0.8822,0
0.1156049851919464,0.0847555903307249,5,12,130,15,20,19,10.736842105263158,0.9184,0.9184,0
0.1544719638457047,0.10840068209348876,5,3,46,958,129,77,8.974025974025974,0.966,0.966,1
0.17406826657433105,0.03489488999198259,5,4,20,958,17,26,10.23076923076923,0.9584,0.9584,1
0.1624855608058427,-0.09573088327070715,3,4,30,97,20,19,11.105263157894736,0.4753,0.4753,0
0.2826968845558188,-0.14409541540073204,5,4,4,958,45,91,8.89010989010989,0.9947,0.9947,0
0.12731074294576936,0.19416952454479403,5,4,29,958,31,74,9.72972972972973,0.4852,0.4852,1
0.2664383248694749,-0.14046210600162662,5,4,30,958,17,10,5.8,0.8519,0.8519,0
0.16087252419536113,-0.04637730011440466,5,3,48,958,18,36,12.47222222222222,0.8696,0.8696,1
0.2501442765437931,0.12073516566373924,5,3,42,958,42,140,10.07857142857143,0.9904,0.9904,1
0.09949373685634484,0.001478658303408053,5,9,223,97,11,6,6.5,0.0,0.0,0
0.20346569826226485,0.14716668492281565,5,3,55,958,68,54,12.24074074074074,0.9743,0.9743,1
0.11982824517148795,0.00258601374617528,5,4,4,958,13,18,10.333333333333334,0.9313,0.9313,0
0.12104668259681761,0.04248055074456011,5,2,86,38,28,18,7.888888888888889,0.6997,0.6997,0
0.28568644472936117,-0.16855600704665788,5,4,27,958,35,139,11.143884892086332,0.9923,0.9923,1
0.21015118154265597,0.13891626013787692,5,3,37,958,41,46,9.521739130434783,0.8838,0.8838,1
0.15130747751485626,-0.1182846191028074,5,4,12,958,18,16,9.125,0.9661,0.9661,0
0.31500347154193764,0.03126747024296465,5,4,12,958,12,23,8.826086956521738,0.9638,0.9638,0
0.2163598639444253,-0.037751160677924826,5,2,80,958,41,232,10.094827586206897,-0.7946,0.7946,1
0.22142795391479209,-0.14920841206275856,4,4,30,958,35,41,10.878048780487806,0.7255,0.7255,1
0.13474072649681965,-0.17551891416128562,4,4,17,958,15,23,13.73913043478261,0.6705,0.6705,1
0.1671218334950941,0.0802778917724948,5,4,12,958,70,48,8.0625,0.8957,0.8957,1
0.25960928535014477,0.12434522504002066,5,3,35,958,14,149,11.691275167785236,0.9707,0.9707,1
0.1602539963767255,-0.09153018907841715,5,4,7,958,14,37,11.972972972972974,0.9424,0.9424,1
0.08648907441089847,-0.004154162533346682,5,10,209,32,6,15,10.866666666666667,-0.1263,0.1263,0
0.1904236940639397,0.08434931580528014,5,4,25,958,11,42,10.61904761904762,0.9846,0.9846,1
0.11868134958502934,0.08056772293708979,5,4,24,958,30,18,8.88888888888889,0.17,0.17,0
0.30441110300273877,-0.21325934133385072,5,4,30,97,27,26,8.26923076923077,0.9732,0.9732,0
0.11264009141367598,0.008388732628814635,5,4,28,958,26,7,8.0,0.6114,0.6114,1
0.32047287879753933,-0.2047955954972563,5,3,33,958,13,9,10.555555555555555,0.8687,0.8687,1
0.18881778290295034,0.03467247890579032,5,4,30,958,25,49,11.93877551020408,0.9936,0.9936,1
0.24532853052940762,0.06936341314666016,5,4,10,958,34,36,8.805555555555555,0.8573,0.8573,1
0.10250061236210786,0.019358726200019823,5,1,823,17,12,2,18.5,0.0,0.0,0
0.1918449144530188,-0.027776866738962444,5,4,9,958,13,42,10.333333333333334,0.9219,0.9219,1
0.1625346769978561,0.08237934762801863,5,1,114,958,92,131,10.778625954198471,0.9582,0.9582,1
0.21343114238511585,0.16394538372706413,5,4,5,958,23,25,9.24,0.926,0.926,0
0.22457351789796232,-0.02954063675160086,5,4,22,17,14,16,8.1875,0.953,0.953,0
0.1943378678181165,-0.18461086550690692,5,3,42,958,16,45,10.644444444444444,0.9456,0.9456,1
0.1352142528926482,0.020576276327051394,4,4,31,958,21,18,8.777777777777779,0.9432,0.9432,1
0.1369750082388307,-0.04706946874752331,5,3,32,958,63,29,9.413793103448276,0.932,0.932,0
0.1836649860680412,0.03220975910114957,4,4,15,958,26,25,12.8,0.9345,0.9345,0
0.16620391036427806,0.04631788901541206,5,4,5,958,26,40,9.3,0.9294,0.9294,1
0.2215622079881885,-0.037626407265190544,5,3,33,958,9,38,9.710526315789474,0.8885,0.8885,1
0.17940018015155684,-0.1843370750478586,5,4,31,958,15,18,8.944444444444445,0.9431,0.9431,0
0.11741030189695958,-0.15033142115494302,3,1,475,97,14,6,10.5,0.2467,0.2467,0
0.2128195760309115,-0.0190128710830078,5,3,398,32,33,26,8.423076923076923,0.0415,0.0415,0
0.2348640401450327,0.058648490257863804,5,9,235,958,98,105,10.085714285714284,0.958,0.958,1
0.15039531901526634,0.09463221403597809,5,2,64,958,40,62,9.629032258064516,0.8772,0.8772,1
0.30001437806840214,0.18325368784272936,5,4,18,958,34,27,8.666666666666666,0.9481,0.9481,1
0.1148422154441641,0.01500884635648211,4,4,24,97,12,7,7.142857142857143,0.5796,0.5796,0
0.17154042164598576,-0.08755167762899102,4,2,72,958,63,47,9.25531914893617,0.9485,0.9485,1
0.17164673432323402,-0.005672985064221632,5,3,53,97,27,22,8.090909090909092,0.886,0.886,0
0.2003200884775957,0.16996420315095792,5,4,23,958,51,38,8.31578947368421,0.9299,0.9299,1
0.17157490446881837,-0.011054902733263107,4,12,149,958,15,15,8.666666666666666,0.3182,0.3182,1
0.2348071585631905,-0.23558419345295337,3,4,23,958,17,40,12.025,0.9538,0.9538,1
0.11053961428737179,0.16852606092010916,5,12,1612,2,19,14,8.142857142857142,0.7346,0.7346,0
0.10467794239633896,0.06358771411935044,5,4,31,958,16,24,6.708333333333333,0.9145,0.9145,0
0.11251669964470856,0.03025317441369999,5,4,7,958,11,6,11.5,0.6249,0.6249,0
0.21633884460850347,0.08572706652000171,5,3,62,958,48,76,10.473684210526317,0.9476,0.9476,1
0.23527474216960312,0.015603145986085405,3,4,7,958,33,89,10.831460674157304,0.9937,0.9937,0
0.2082803647283942,-0.1237720750751039,4,3,50,958,10,26,9.884615384615383,0.9022,0.9022,1
0.08034074355427716,0.02022746947493231,5,7,291,11,27,8,5.375,0.2263,0.2263,0
0.12065959256584778,0.1745439384072638,5,4,18,958,23,20,7.4,0.6908,0.6908,1
0.2892380872161975,-0.06763142912410247,5,10,1674,38,20,6,3.333333333333333,0.4404,0.4404,0
0.14659825364261975,0.08624123926392638,5,4,12,958,66,36,9.333333333333334,0.9185,0.9185,1
0.2031776785533302,-0.14479643412877755,5,6,310,97,20,12,6.666666666666667,0.7351,0.7351,0
0.17104812935905891,-0.07579872633698767,5,4,12,958,29,102,11.176470588235292,0.9596,0.9596,1
0.21216515782112028,0.050934759515914266,5,4,16,958,21,15,6.8,0.9022,0.9022,0
0.12588108596520914,0.1363878884895432,4,5,1076,958,47,142,10.338028169014084,0.9854,0.9854,1
0.11016589050213073,0.06900357541152992,5,3,49,958,41,76,11.460526315789474,-0.898,0.898,1
0.21607762578378262,0.023006868428962643,5,4,4,958,24,31,9.935483870967742,0.9279,0.9279,0
0.2596617916836647,-0.06536468087048626,5,3,43,958,53,42,10.666666666666666,0.929,0.929,1
0.24641126271998617,-0.05126371718978512,4,10,205,958,84,134,11.35820895522388,0.9704,0.9704,1
0.290407167331053,-0.2356690345781752,5,4,9,958,12,13,9.153846153846152,0.6908,0.6908,1
0.1651422573089682,-0.11112343543233015,5,4,8,958,12,25,10.68,0.9459,0.9459,1
0.3183698242788465,-0.21371632556447565,4,4,20,958,4,84,10.44047619047619,0.9916,0.9916,1
0.09458146650709541,0.020762754487405718,5,4,4,97,10,3,2.6666666666666665,0.6369,0.6369,0
0.17822916739065078,-0.06159759568342782,5,4,6,958,13,17,8.0,0.8881,0.8881,0
0.17535776274309697,-0.08852328786618927,5,4,9,958,30,11,6.636363636363637,0.9422,0.9422,0
0.06531105182451838,0.031474555858779174,5,4,31,958,26,41,10.902439024390244,0.6581,0.6581,1
