lsa_0,lsa_1,rating,year,month,day_of_week,location_freq,title_len,body_len,word_count,cluster_kmeans,cluster_dbscan,cluster_hac,is_helpful
0.18638446722605329,-0.057373859866172,5,2023,8,0,1190,52,1698,142,2,-1,0,1
0.22699648754401347,-0.08696274347392713,5,2026,4,4,1190,39,289,33,2,13,2,1
0.23320484966500335,-0.20310493919871808,5,2026,3,0,1190,19,699,67,0,-1,1,1
0.13278140897285898,-0.12578744537144612,5,2026,4,6,1190,34,456,46,0,-1,0,1
0.2346134393766157,-0.21756649441663597,5,2026,3,2,1190,87,1430,137,0,-1,1,1
0.21473589524166387,-0.18752559359277257,5,2026,3,3,1190,27,575,63,0,-1,1,1
0.18141036128529994,-0.19074817837963,4,2026,3,6,1190,37,1002,85,0,-1,1,1
0.22291437449909238,-0.2402609742267673,5,2026,4,0,1190,21,177,23,0,-1,1,0
0.2550406936605348,-0.18157796605623017,5,2026,4,0,1190,17,130,12,0,-1,2,1
0.25768720044220483,-0.250814904339838,5,2026,3,3,1190,51,640,59,0,-1,1,1
0.13925909179714355,0.008097641993187334,5,2026,4,6,1190,66,309,32,4,-1,4,1
0.1955330282654221,0.010025173296524647,5,2026,2,6,1190,42,601,66,2,-1,4,1
0.15903992663194436,0.009324004374275488,5,2026,4,5,1190,23,248,20,4,-1,4,1
0.17741915552133727,-0.04372595678001487,5,2026,1,4,1190,44,618,64,2,-1,0,1
0.15824020175745393,0.0059224535052489775,5,2026,4,4,1190,59,570,57,4,-1,4,1
0.11556552384585857,-0.04250890084892892,4,2025,12,5,1190,49,1172,121,4,-1,0,1
0.12670803508439243,-0.06483640423370503,5,2026,3,6,1190,33,172,22,4,-1,0,1
0.12957261901389583,-0.014698655165629532,5,2026,4,1,1190,14,102,14,4,-1,0,1
0.020964633998318796,0.002519626277467733,5,2025,12,3,43,19,28,5,4,-1,0,0
0.0709111297321962,0.00508048147777484,5,2025,2,6,19,12,41,6,4,-1,0,0
0.17660391774629183,-0.20398688670816095,5,2026,4,3,1190,83,974,104,0,-1,1,1
0.24141128865614284,-0.14034914361680384,5,2026,4,3,1190,46,1154,111,0,-1,2,1
0.2171775308918099,-0.1618853530800522,5,2026,3,0,1190,58,878,88,0,-1,2,1
0.2262471246628151,-0.1836983939324933,5,2026,4,5,1190,12,287,27,0,-1,1,0
0.21062678627835335,-0.1137457849170858,5,2026,4,0,1190,12,169,19,0,-1,2,0
0.18255224840413345,-0.09256310786786674,4,2026,3,1,1190,30,512,49,2,1,0,1
0.16671570983438572,-0.1530012403329413,5,2026,3,2,1190,73,974,86,0,-1,1,1
0.16958172764787158,-0.15933676187663262,5,2026,4,2,1190,13,427,43,0,6,1,1
0.18449615560823146,-0.06511500998300858,3,2026,4,2,18,15,66,9,2,-1,0,0
0.06836908786907132,-0.09587640643582866,5,2026,4,3,122,20,32,5,4,-1,0,0
0.18651386028375924,-0.1374757079439575,5,2026,2,0,1190,75,963,102,0,-1,1,1
0.19797173093265902,0.07913803689629406,5,2026,4,2,1190,9,49,9,1,-1,4,1
0.17007571087328183,-0.0520273450133252,5,2026,3,0,1190,12,328,29,2,-1,0,1
0.18024307819663174,-0.07589966951465393,5,2026,3,1,1190,44,191,30,2,-1,0,1
0.11152485359652294,-0.06857959378066521,4,2026,2,3,1190,61,744,58,4,-1,0,1
0.20933962934675696,-0.08926420145183618,5,2026,4,1,1190,19,173,20,2,-1,2,0
0.19890741845881366,-0.05368357485531444,5,2026,4,3,1190,29,215,23,2,4,0,0
0.12593328125003872,-0.11648648212993541,5,2026,4,6,1190,70,711,75,0,-1,0,0
0.21282920503426972,-0.10056597322618183,5,2026,3,4,1190,14,376,29,2,5,2,1
0.18025235726239208,-0.10618195972213001,5,2026,3,4,1190,18,457,40,0,-1,0,1
0.11807008637887129,-0.0860758696369522,5,2026,4,0,1190,38,89,13,4,-1,0,1
0.19649941645401817,-0.17481434972519816,5,2026,3,6,1190,28,382,37,0,-1,1,1
0.1382746719220377,-0.15954982209078925,5,2026,4,6,1190,11,115,13,0,-1,0,0
0.18244253493102608,-0.18082026413685723,5,2026,3,1,1190,25,869,77,0,-1,1,1
0.16138042525263546,-0.11105471423709067,4,2026,3,0,1190,33,370,35,0,-1,0,0
0.15638440796850933,-0.047177860471517445,5,2026,4,6,1190,30,72,11,4,-1,0,0
0.07872766910026872,-0.10112964266663825,5,2026,4,0,47,28,68,11,4,-1,0,0
0.0822199400025433,-0.13428999563519578,5,2026,4,6,47,28,49,9,4,-1,0,0
0.15063898594020408,0.0055389121942479875,5,2026,3,6,47,10,31,6,4,-1,4,0
0.19086749781002904,-0.0814765667877216,5,2023,10,5,1190,41,1379,131,2,-1,0,1
0.18825266753238354,-0.08783989614532146,5,2026,4,1,1190,11,446,42,2,-1,0,1
0.24402068696042734,-0.1257852617528662,5,2026,2,6,1190,31,1053,91,0,-1,2,1
0.1631215840853325,-0.04190110456149666,4,2025,10,5,1190,57,1455,136,4,-1,0,1
0.2006151676031689,-0.0417050586258417,5,2026,4,6,1190,33,1129,108,2,-1,0,1
0.2074687565350926,-0.06538007345615654,5,2026,4,1,1190,36,371,38,2,-1,0,0
0.19988544466330652,-0.09988404599012801,3,2025,8,5,1190,38,1174,95,2,3,2,1
0.29415686962627136,-0.07387838527701622,4,2026,2,3,1190,56,588,53,2,-1,2,1
0.2669977274187607,0.05956811896023107,5,2025,6,2,43,18,22,6,1,-1,4,0
0.09221425935206388,-0.06479366599932464,5,2025,12,3,2,15,30,5,4,-1,0,0
0.13817112922136193,-1.639887426498868e-05,3,2025,7,1,24,39,45,11,4,-1,4,0
0.1966607230817571,-0.11561729613634425,5,2026,1,1,1190,50,853,80,0,-1,0,1
0.17760099572276633,-0.09656497368117514,5,2026,4,1,1190,17,206,22,2,-1,0,0
0.09113682178460572,-0.07608416412899228,5,2026,4,3,1190,23,219,25,4,-1,0,0
0.145698946894958,-0.052119074781556946,5,2026,4,6,1190,29,656,65,4,12,0,1
0.19573550180040294,-0.006856128767494374,4,2026,3,1,1190,12,79,10,2,-1,4,0
0.1061272863727472,-0.038355881406847744,5,2026,4,4,1190,30,174,19,4,-1,0,1
0.2875802839572082,-0.18225107319898473,5,2026,4,2,1190,9,23,5,0,-1,1,0
0.17119601634224108,-0.16625438520109917,5,2026,1,2,1190,56,1560,150,0,6,1,1
0.057485025308663076,0.05611117473676943,1,2024,6,6,24,25,55,7,4,-1,4,0
0.1390666750682354,0.03118826340771937,5,2026,4,1,1190,74,1368,135,1,-1,4,1
0.12270341591386569,-0.011939494489662776,5,2026,4,6,1190,37,384,39,4,-1,0,0
0.10523606954272119,0.021315964207188606,5,2026,4,2,1190,28,207,26,4,-1,0,0
0.19822572516030895,-0.011195225321440292,5,2026,4,2,1190,13,65,9,2,-1,4,1
0.13116327445629447,-0.04646917128583133,4,2026,4,3,1190,61,398,42,4,7,0,1
0.15694846527604867,-0.02799284691700754,5,2026,3,0,1190,27,333,34,4,-1,0,0
0.187538914235784,0.014173784180586168,5,2026,4,2,1190,5,556,48,1,-1,4,0
0.07204402300358355,-0.09380795856357552,5,2026,4,2,1190,10,10,4,4,-1,0,0
0.058659620575753045,0.00030048122700781946,1,2025,3,5,19,48,125,18,4,-1,0,0
0.08207909630415824,0.05129303479051325,5,2026,2,1,122,13,61,9,4,-1,4,0
0.1996960560530005,-0.20424771208661804,5,2026,4,6,1190,25,384,38,0,-1,1,1
0.18384719301200697,-0.18157745861271476,5,2026,4,1,1190,55,690,72,0,-1,1,1
0.13474077084821193,-0.14318495089720898,5,2026,4,5,1190,54,600,56,0,-1,0,1
0.10951965967105047,-0.20997712284776224,5,2026,4,3,1190,72,450,44,0,-1,1,1
0.19695581475621574,-0.2473073141062544,4,2026,4,5,1190,58,662,83,0,-1,1,1
0.15748219863286184,-0.14931920561966436,5,2026,3,1,1190,20,569,50,0,-1,1,1
0.1843365593529076,-0.2078351656750368,5,2026,4,3,1190,34,376,45,0,-1,1,1
0.2316789878687876,-0.2295434877573029,5,2024,5,4,1190,43,1375,126,0,-1,1,1
0.30084187077951163,-0.19029748066293364,5,2026,4,2,1190,47,714,75,0,-1,1,1
0.2980470064971515,-0.03545923584100323,5,2026,4,0,1190,41,1396,135,2,-1,2,1
0.1771891111193869,-0.08551985179198249,4,2026,4,1,1190,13,546,48,2,1,0,0
0.28481970998649236,-0.07778425997226972,5,2026,4,2,1190,21,783,70,2,-1,2,1
0.14596234763436272,-0.036213761460635034,5,2026,4,2,1190,18,408,33,4,-1,0,1
0.23411216754788317,-0.010273037065164733,3,2026,4,5,1190,33,926,83,2,-1,2,0
0.239340324809718,-0.04482069807150939,5,2026,3,5,1190,15,1788,155,2,-1,2,1
0.2355739245422422,-0.07178560677879434,5,2025,9,1,1190,98,1059,105,2,-1,2,1
0.12599292701448836,-0.009908293650540257,5,2025,12,3,122,14,99,12,4,-1,0,0
0.19623969469227576,-0.07302604806193184,4,2024,2,3,19,14,215,24,2,8,0,0
0.24194405433255597,-0.07582335204266041,5,2026,3,2,47,52,369,37,2,-1,2,0
0.2816556718039681,-0.03771685509055424,5,2026,3,2,1190,63,763,77,2,-1,2,1
0.2650838064263518,-0.05254936210917237,5,2026,4,0,1190,15,492,46,2,-1,2,1
0.21944203573015467,-0.08923403565218552,5,2023,3,4,1190,40,1652,143,2,-1,2,1
0.23033909029447996,-0.056750081241582866,4,2026,2,4,1190,36,672,70,2,9,2,1
0.23206948966996835,-0.08466487724030446,5,2023,2,1,1190,42,1774,151,2,19,2,1
0.19683664000153883,-0.07414889524534837,5,2026,4,6,1190,14,327,22,2,8,0,1
0.20449985454730618,-0.04533638387870687,5,2026,4,2,1190,40,822,68,2,4,0,1
0.1932051848254127,-0.0652255365412619,3,2026,3,1,1190,40,2360,205,2,-1,0,1
0.23046637411775867,-0.07716777629549074,5,2022,12,1,24,19,111,16,2,-1,2,0
0.07893709657175595,-0.023853349113174886,5,2025,7,1,14,27,43,8,4,-1,0,0
0.28277453398342395,-0.06811212112740157,5,2026,4,3,1190,17,966,82,2,-1,2,1
0.15669073535213235,0.023859433537388564,5,2026,4,5,1190,17,230,22,1,-1,4,0
0.24849857070003153,-0.02062470359556974,5,2026,3,6,1190,25,523,44,2,-1,2,1
0.2809783915886195,-0.09444062649226465,4,2025,10,4,1190,42,1388,129,2,-1,2,1
0.23975307269572904,-0.09925458467306086,5,2026,3,3,1190,22,402,45,2,-1,2,1
0.24744339363817633,-0.030060573638319137,5,2026,4,5,1190,21,171,19,2,-1,2,0
0.24099823095505615,-0.07856549762966632,5,2026,2,4,1190,10,997,89,2,-1,2,1
0.23122705605302765,-0.06005376647727768,3,2026,3,1,1190,3,773,72,2,9,2,1
0.2565420008100843,-0.14925578272897733,5,2026,3,3,47,45,1267,106,0,-1,2,0
0.2511309983047199,-0.06271848355991311,5,2025,8,5,4,38,1027,100,2,-1,2,0
0.2485277739049844,-0.07037109899400697,5,2026,2,4,8,7,401,37,2,-1,2,0
0.1422511976415048,0.0035419964209368244,5,2026,4,2,1190,39,468,43,4,-1,4,0
0.19789560680321727,-0.04071443282472122,5,2026,2,5,1190,32,444,50,2,-1,0,1
0.1832607427428636,0.01900205642427549,5,2026,4,2,1190,13,106,14,1,-1,4,0
0.12331515101899171,-0.055908295582022684,4,2026,1,1,1190,52,1287,127,4,2,0,1
0.1051628850863212,-0.05388099209212594,5,2026,3,0,1190,21,198,20,4,-1,0,1
0.13261547856307107,-0.04863033576714295,5,2026,4,5,1190,26,347,37,4,7,0,0
0.1685320049917325,-0.03073589796475743,5,2026,4,5,1190,14,84,11,4,-1,0,0
0.0955150628708052,0.00408218779673019,5,2026,4,1,1190,33,101,15,4,-1,0,0
0.07814558935952194,-0.012840405067017155,4,2026,1,2,1,33,277,28,4,-1,0,0
0.08412264446949488,0.00893211063421959,5,2026,1,6,47,10,22,5,4,-1,0,0
0.16194927742297138,-0.11743009198396603,5,2026,4,3,1190,70,1204,119,0,10,0,1
0.12330084542961342,-0.09977167032915125,5,2026,4,5,1190,52,862,80,4,-1,0,1
0.1510289634622186,-0.09275719943074451,5,2026,4,3,1190,38,240,25,4,-1,0,1
0.11048877483183177,-0.025551037353979678,5,2026,4,1,1190,40,479,39,4,-1,0,1
0.11810099557042339,-0.09793647388437565,4,2026,3,1,1190,26,371,48,4,-1,0,1
0.09333483178548761,-0.09306712261385279,5,2026,3,6,1190,28,1337,125,4,-1,0,1
0.1229534737971581,-0.02827893025952537,5,2026,3,5,1190,10,825,68,4,-1,0,1
